domain,status,protocol,reason
nationalcapitalfitday.com,unreachable,,HTTPS: Connection error: Cannot connect to host nationalcapitalfitday.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host nationalcapitalfitday.com:80 ssl:False [getaddrinfo failed]
ordercrustandbuns.com,unreachable,,HTTPS: Connection error: Cannot connect to host ordercrustandbuns.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host ordercrustandbuns.com:80 ssl:False [getaddrinfo failed]
daveandtracy.org,unreachable,,HTTPS: Connection error: Cannot connect to host daveandtracy.org:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host daveandtracy.org:80 ssl:False [getaddrinfo failed]
when2heartsbeatas1.org,unreachable,,HTTPS: Connection error: Cannot connect to host when2heartsbeatas1.org:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host when2heartsbeatas1.org:80 ssl:False [getaddrinfo failed]
galleongc.com,unreachable,,HTTPS: Connection error: Cannot connect to host galleongc.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host galleongc.com:80 ssl:False [getaddrinfo failed]
simplicitymovers.com,unreachable,,HTTPS: Connection error: Cannot connect to host simplicitymovers.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host simplicitymovers.com:80 ssl:False [getaddrinfo failed]
smartdivorcestrategy.com,unreachable,,HTTPS: Timeout | HTTP: Timeout
boyettrecovery.com,unreachable,,HTTPS: Connection error: Cannot connect to host boyettrecovery.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host boyettrecovery.com:80 ssl:False [getaddrinfo failed]
littlefeetforestschool.org,unreachable,,HTTPS: Connection error: Cannot connect to host littlefeetforestschool.org:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host littlefeetforestschool.org:80 ssl:False [getaddrinfo failed]
nationalcarousels158.com,unreachable,,HTTPS: Connection error: Cannot connect to host nationalcarousels158.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host nationalcarousels158.com:80 ssl:False [getaddrinfo failed]
2020relining.com,unreachable,,HTTPS: Connection error: Cannot connect to host 2020relining.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host 2020relining.com:80 ssl:False [getaddrinfo failed]
ellen4wcsd.com,unreachable,,HTTPS: Connection error: Cannot connect to host ellen4wcsd.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host ellen4wcsd.com:80 ssl:False [getaddrinfo failed]
themorvarid.com,unreachable,,HTTPS: Connection error: Cannot connect to host themorvarid.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host themorvarid.com:80 ssl:False [getaddrinfo failed]
thephotoboothunlimited.com,unreachable,,HTTPS: Connection error: Cannot connect to host thephotoboothunlimited.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host thephotoboothunlimited.com:80 ssl:False [getaddrinfo failed]
advertiserandmarketersplatform.com,unreachable,,HTTPS: Connection error: Cannot connect to host advertiserandmarketersplatform.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host advertiserandmarketersplatform.com:80 ssl:False [getaddrinfo failed]
greenissue.eu,unreachable,,HTTPS: Connection error: Cannot connect to host greenissue.eu:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host greenissue.eu:80 ssl:False [getaddrinfo failed]
river-valley-rv-park-tx.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
saipanyc.com,unreachable,,HTTPS: Connection error: Cannot connect to host saipanyc.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host saipanyc.com:80 ssl:False [getaddrinfo failed]
angelabrite.com,unreachable,,HTTPS: Connection error: Cannot connect to host angelabrite.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host angelabrite.com:80 ssl:False [getaddrinfo failed]
clovercutsandcolor.com,unreachable,,HTTPS: 403 Forbidden (Unknown) | HTTP: 403 Forbidden (Unknown)
serenapezzato.com,unreachable,,HTTPS: Connection error: Cannot connect to host serenapezzato.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host serenapezzato.com:80 ssl:False [getaddrinfo failed]
king-alexander.com,unreachable,,HTTPS: Timeout | HTTP: Connection error: Cannot connect to host king-alexander.com:80 ssl:False [getaddrinfo failed]
northsidemeadows.com,unreachable,,HTTPS: Timeout | HTTP: Timeout
rivertownslp.com,unreachable,,HTTPS: Connection error: Cannot connect to host rivertownslp.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host rivertownslp.com:80 ssl:False [getaddrinfo failed]
bloggingforextrader.com,unreachable,,HTTPS: Connection error: Cannot connect to host bloggingforextrader.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host bloggingforextrader.com:80 ssl:False [getaddrinfo failed]
green-graphixz-clothing-company.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
50ggirls.com,unreachable,,HTTPS: Connection error: Cannot connect to host 50ggirls.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host 50ggirls.com:80 ssl:False [getaddrinfo failed]
roland4fairview.com,unreachable,,HTTPS: Connection error: Cannot connect to host roland4fairview.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host roland4fairview.com:80 ssl:False [getaddrinfo failed]
